@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2}

@data
76,'2019/02/14 11:46:37:191',1,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1
77,'2019/02/14 11:46:37:201',1,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1
78,'2019/02/14 11:46:37:210',1,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1
79,'2019/02/14 11:46:37:223',1,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1
80,'2019/02/14 11:46:37:234',1,2.074533,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,4.583508,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1
81,'2019/02/14 11:46:37:244',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
82,'2019/02/14 11:46:37:257',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
83,'2019/02/14 11:46:37:267',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
84,'2019/02/14 11:46:37:277',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
85,'2019/02/14 11:46:37:290',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
86,'2019/02/14 11:46:37:301',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
87,'2019/02/14 11:46:37:311',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
88,'2019/02/14 11:46:37:323',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
89,'2019/02/14 11:46:37:334',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
90,'2019/02/14 11:46:37:344',1,1.304815,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,4.627879,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1
91,'2019/02/14 11:46:37:357',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
92,'2019/02/14 11:46:37:368',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
93,'2019/02/14 11:46:37:378',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
94,'2019/02/14 11:46:37:391',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
95,'2019/02/14 11:46:37:401',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
96,'2019/02/14 11:46:37:411',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
97,'2019/02/14 11:46:37:424',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
98,'2019/02/14 11:46:37:434',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
99,'2019/02/14 11:46:37:443',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
100,'2019/02/14 11:46:37:456',1,5.639958,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,2.170947,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,1
101,'2019/02/14 11:46:37:467',1,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,31.028259,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,9.041499,1
102,'2019/02/14 11:46:37:477',1,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,31.028259,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,9.041499,1
103,'2019/02/14 11:46:37:489',1,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,31.028259,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,9.041499,1
104,'2019/02/14 11:46:37:500',1,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,31.028259,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,9.041499,1
105,'2019/02/14 11:46:37:510',1,0.573639,1.40413,77.676102,15.460049,6.860056,74.659698,2.51741,3.73184,9.422746,31.028259,1.359978,1.053727,118.455772,48.267532,7.537648,142.005173,5.847927,1.134058,1.615683,9.041499,1
