@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3776,'2019/02/12 12:39:54:208',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3777,'2019/02/12 12:39:54:220',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3778,'2019/02/12 12:39:54:230',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3779,'2019/02/12 12:39:54:241',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3780,'2019/02/12 12:39:54:253',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3781,'2019/02/12 12:39:54:263',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3782,'2019/02/12 12:39:54:275',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3783,'2019/02/12 12:39:54:286',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3784,'2019/02/12 12:39:54:297',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3785,'2019/02/12 12:39:54:308',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3786,'2019/02/12 12:39:54:320',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3787,'2019/02/12 12:39:54:330',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3788,'2019/02/12 12:39:54:342',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3789,'2019/02/12 12:39:54:354',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
